,temperature_2m_mean,city,,,,,,,,,
537,27.3,Colombo,,,,,,,,,
538,27.2,Colombo,,,,,,,,,
539,27.2,Colombo,,,,,,,,,
540,26.9,Colombo,,,,,,,,,
541,27.2,Colombo,,,,,,,,,
542,27,Colombo,,,,,,,,,
543,27.2,Colombo,,,,,,,,,
544,27.1,Colombo,,,,,,,,,
545,27,Colombo,,,,,,,,,
546,26.8,Colombo,,,,,,,,,
547,26.9,Colombo,,,,,,,,,
548,26.9,Colombo,,,,,,,,,
549,27,Colombo,,,,,,,,,
550,26.1,Colombo,,,,,,,,,
551,26.7,Colombo,,,,,,,,,
552,26.8,Colombo,,,,,,,,,
553,26.5,Colombo,,,,,,,,,
554,26.7,Colombo,,,,,,,,,
555,26.7,Colombo,,,,,,,,,
556,26.3,Colombo,,,,,,,,,
557,26.2,Colombo,,,,,,,,,
558,26,Colombo,,,,,,,,,
559,26,Colombo,,,,,,,,,
560,26,Colombo,,,,,,,,,
561,25.9,Colombo,,,,,,,,,
562,25.8,Colombo,,,,,,,,,
563,26,Colombo,,,,,,,,,
564,26.7,Colombo,,,,,,,,,
565,26.6,Colombo,,,,,,,,,
566,26.5,Colombo,,,,,,,,,
567,26.3,Colombo,,,,,,,,,
568,26.4,Colombo,,,,,,,,,
569,25.9,Colombo,,,,,,,,,
570,25.9,Colombo,,,,,,,,,
571,25.6,Colombo,,,,,,,,,
572,25.9,Colombo,,,,,,,,,
573,26.3,Colombo,,,,,,,,,
574,26.3,Colombo,,,,,,,,,
575,26.2,Colombo,,,,,,,,,
576,26.7,Colombo,,,,,,,,,
577,26.9,Colombo,,,,,,,,,
578,26.9,Colombo,,,,,,,,,
579,26,Colombo,,,,,,,,,
580,26.3,Colombo,,,,,,,,,
581,25.7,Colombo,,,,,,,,,
582,25.7,Colombo,,,,,,,,,
583,26.8,Colombo,,,,,,,,,
584,26.2,Colombo,,,,,,,,,
585,26,Colombo,,,,,,,,,
586,26.3,Colombo,,,,,,,,,
587,26.8,Colombo,,,,,,,,,
588,26.7,Colombo,,,,,,,,,
589,26.4,Colombo,,,,,,,,,
590,26.8,Colombo,,,,,,,,,
591,25.9,Colombo,,,,,,,,,
592,25.8,Colombo,,,,,,,,,
593,25.8,Colombo,,,,,,,,,
594,26.5,Colombo,,,,,,,,,
595,26.4,Colombo,,,,,,,,,
596,26.8,Colombo,,,,,,,,,
597,26.5,Colombo,,,,,,,,,
598,25.5,Colombo,,,,,,,,,
599,25.5,Colombo,,,,,,,,,
600,25.4,Colombo,,,,,,,,,
601,25.9,Colombo,,,,,,,,,
602,26.7,Colombo,,,,,,,,,
603,26.7,Colombo,,,,,,,,,
604,26.3,Colombo,,,,,,,,,
605,27,Colombo,,,,,,,,,
606,25.9,Colombo,,,,,,,,,
607,25.9,Colombo,,,,,,,,,
608,26.2,Colombo,,,,,,,,,
609,25.7,Colombo,,,,,,,,,
610,26.5,Colombo,,,,,,,,,
611,26.9,Colombo,,,,,,,,,
612,26.4,Colombo,,,,,,,,,
613,26.2,Colombo,,,,,,,,,
614,26.4,Colombo,,,,,,,,,
615,26.6,Colombo,,,,,,,,,
616,25.9,Colombo,,,,,,,,,
617,25.3,Colombo,,,,,,,,,
618,25.6,Colombo,,,,,,,,,
619,25.5,Colombo,,,,,,,,,
620,25.3,Colombo,,,,,,,,,
621,25.8,Colombo,,,,,,,,,
622,25.6,Colombo,,,,,,,,,
623,26.3,Colombo,,,,,,,,,
624,26.8,Colombo,,,,,,,,,
625,26.6,Colombo,,,,,,,,,
626,26.7,Colombo,,,,,,,,,
627,26.8,Colombo,,,,,,,,,
628,26.4,Colombo,,,,,,,,,
629,26.7,Colombo,,,,,,,,,
630,27.1,Colombo,,,,,,,,,
631,26.8,Colombo,,,,,,,,,
632,26.9,Colombo,,,,,,,,,
633,27,Colombo,,,,,,,,,
634,27.1,Colombo,,,,,,,,,
635,27,Colombo,,,,,,,,,
636,27.1,Colombo,,,,,,,,,
637,27,Colombo,,,,,,,,,
638,26.7,Colombo,,,,,,,,,
639,26.8,Colombo,,,,,,,,,
640,27,Colombo,,,,,,,,,
641,26.6,Colombo,,,,,,,,,
642,26.9,Colombo,,,,,,,,,
643,26.6,Colombo,,,,,,,,,
644,26.5,Colombo,,,,,,,,,
645,26.9,Colombo,,,,,,,,,
646,27.1,Colombo,,,,,,,,,
647,26.9,Colombo,,,,,,,,,
648,26.4,Colombo,,,,,,,,,
649,26,Colombo,,,,,,,,,
650,26.6,Colombo,,,,,,,,,
651,26.5,Colombo,,,,,,,,,
652,26.5,Colombo,,,,,,,,,
653,26.8,Colombo,,,,,,,,,
654,26.3,Colombo,,,,,,,,,
655,26.8,Colombo,,,,,,,,,
656,26.7,Colombo,,,,,,,,,
657,26.3,Colombo,,,,,,,,,
658,25.9,Colombo,,,,,,,,,
659,25.3,Colombo,,,,,,,,,
660,25.7,Colombo,,,,,,,,,
661,25.8,Colombo,,,,,,,,,
662,25.5,Colombo,,,,,,,,,
663,25.8,Colombo,,,,,,,,,
664,25.8,Colombo,,,,,,,,,
