,rain_sum,temperature_2m_mean,city,,,,,,,,
24864,1.9,24.8,Ratnapura,,,,,,,,
24865,0,25.1,Ratnapura,,,,,,,,
24866,0.7,24.9,Ratnapura,,,,,,,,
24867,0.2,24.7,Ratnapura,,,,,,,,
24868,2.3,24.3,Ratnapura,,,,,,,,
24869,9.3,24.1,Ratnapura,,,,,,,,
24870,4.4,24.5,Ratnapura,,,,,,,,
24871,1.2,25,Ratnapura,,,,,,,,
24872,0.2,24.8,Ratnapura,,,,,,,,
24873,1.2,24.7,Ratnapura,,,,,,,,
24874,1.6,24.2,Ratnapura,,,,,,,,
24875,0,24.3,Ratnapura,,,,,,,,
24876,2.8,24.8,Ratnapura,,,,,,,,
24877,1.3,24.8,Ratnapura,,,,,,,,
24878,1.3,25.1,Ratnapura,,,,,,,,
24879,4.6,24.5,Ratnapura,,,,,,,,
24880,21.6,24.1,Ratnapura,,,,,,,,
24881,25,24.7,Ratnapura,,,,,,,,
24882,9,24.7,Ratnapura,,,,,,,,
24883,17.1,24.1,Ratnapura,,,,,,,,
24884,6.1,24.5,Ratnapura,,,,,,,,
24885,1.3,25.1,Ratnapura,,,,,,,,
24886,0.4,25.5,Ratnapura,,,,,,,,
24887,13.1,24.7,Ratnapura,,,,,,,,
24888,16.6,23.3,Ratnapura,,,,,,,,
24889,7.9,23.9,Ratnapura,,,,,,,,
24890,14.1,24.1,Ratnapura,,,,,,,,
24891,0.5,24.9,Ratnapura,,,,,,,,
24892,4.9,24.9,Ratnapura,,,,,,,,
24893,94,24.3,Ratnapura,,,,,,,,
24894,74.8,23.5,Ratnapura,,,,,,,,
24895,0.6,25,Ratnapura,,,,,,,,
24896,5.1,24.9,Ratnapura,,,,,,,,
24897,8.7,24.6,Ratnapura,,,,,,,,
24898,4.5,24.4,Ratnapura,,,,,,,,
24899,3.3,24.3,Ratnapura,,,,,,,,
24900,12.2,24.2,Ratnapura,,,,,,,,
24901,5.3,24.8,Ratnapura,,,,,,,,
24902,21,24.5,Ratnapura,,,,,,,,
24903,23.2,24.1,Ratnapura,,,,,,,,
24904,12.8,23.5,Ratnapura,,,,,,,,
24905,67.9,24.5,Ratnapura,,,,,,,,
24906,16.4,23.6,Ratnapura,,,,,,,,
24907,4.4,23.9,Ratnapura,,,,,,,,
24908,15.2,24.2,Ratnapura,,,,,,,,
24909,26.1,24,Ratnapura,,,,,,,,
24910,8.7,24.5,Ratnapura,,,,,,,,
24911,14.6,24.1,Ratnapura,,,,,,,,
24912,9.4,24.6,Ratnapura,,,,,,,,
24913,29.2,24.4,Ratnapura,,,,,,,,
24914,37.4,24,Ratnapura,,,,,,,,
24915,41.9,24.3,Ratnapura,,,,,,,,
24916,21.6,23.7,Ratnapura,,,,,,,,
24917,12.1,23.9,Ratnapura,,,,,,,,
24918,0.7,23.2,Ratnapura,,,,,,,,
24919,9.4,23.8,Ratnapura,,,,,,,,
24920,16.1,23.5,Ratnapura,,,,,,,,
24921,37.6,24.5,Ratnapura,,,,,,,,
24922,25,22.7,Ratnapura,,,,,,,,
24923,13.2,23.7,Ratnapura,,,,,,,,
24924,3.7,24,Ratnapura,,,,,,,,
24925,3.1,24.3,Ratnapura,,,,,,,,
24926,0,23.3,Ratnapura,,,,,,,,
24927,0,23.9,Ratnapura,,,,,,,,
24928,0.5,24.7,Ratnapura,,,,,,,,
24929,16.8,24.4,Ratnapura,,,,,,,,
24930,0.9,24.6,Ratnapura,,,,,,,,
24931,3,24.8,Ratnapura,,,,,,,,
24932,1.3,24.6,Ratnapura,,,,,,,,
24933,5.9,24.2,Ratnapura,,,,,,,,
24934,9.5,24.5,Ratnapura,,,,,,,,
24935,20.2,23.5,Ratnapura,,,,,,,,
24936,70.3,22.9,Ratnapura,,,,,,,,
24937,37,21.9,Ratnapura,,,,,,,,
24938,24.6,22.9,Ratnapura,,,,,,,,
24939,1.5,23.9,Ratnapura,,,,,,,,
24940,0.3,23.6,Ratnapura,,,,,,,,
24941,0.3,23.8,Ratnapura,,,,,,,,
24942,3.9,24.2,Ratnapura,,,,,,,,
24943,5.9,24,Ratnapura,,,,,,,,
24944,2,23.4,Ratnapura,,,,,,,,
24945,19.2,23.9,Ratnapura,,,,,,,,
24946,20.2,24,Ratnapura,,,,,,,,
24947,13.1,24.1,Ratnapura,,,,,,,,
24948,4.9,23.7,Ratnapura,,,,,,,,
24949,3.6,24,Ratnapura,,,,,,,,
24950,0.5,24.1,Ratnapura,,,,,,,,
24951,12.8,23.4,Ratnapura,,,,,,,,
24952,19.3,24,Ratnapura,,,,,,,,
24953,31,23,Ratnapura,,,,,,,,
24954,1.3,22.7,Ratnapura,,,,,,,,
24955,0,23.4,Ratnapura,,,,,,,,
24956,1.1,22,Ratnapura,,,,,,,,
24957,12.5,19.8,Ratnapura,,,,,,,,
24958,0.6,23.2,Ratnapura,,,,,,,,
24959,3.5,24,Ratnapura,,,,,,,,
24960,0.9,24.3,Ratnapura,,,,,,,,
24961,2.3,24.6,Ratnapura,,,,,,,,
24962,8.4,24.3,Ratnapura,,,,,,,,
24963,0.9,23.7,Ratnapura,,,,,,,,
24964,0,23.3,Ratnapura,,,,,,,,
24965,0,23.1,Ratnapura,,,,,,,,
24966,0.1,24,Ratnapura,,,,,,,,
24967,0.5,23.6,Ratnapura,,,,,,,,
24968,0,24.4,Ratnapura,,,,,,,,
24969,4.7,24.5,Ratnapura,,,,,,,,
24970,6.8,24.7,Ratnapura,,,,,,,,
24971,26.2,24.5,Ratnapura,,,,,,,,
24972,14.8,24.3,Ratnapura,,,,,,,,
24973,6.8,24.6,Ratnapura,,,,,,,,
24974,5.6,24.6,Ratnapura,,,,,,,,
24975,15.3,24,Ratnapura,,,,,,,,
24976,23,23.4,Ratnapura,,,,,,,,
24977,6.1,22.9,Ratnapura,,,,,,,,
24978,11.8,22.5,Ratnapura,,,,,,,,
24979,0,22.1,Ratnapura,,,,,,,,
24980,1.5,23.7,Ratnapura,,,,,,,,
24981,8,24.1,Ratnapura,,,,,,,,
24982,58.1,23.5,Ratnapura,,,,,,,,
24983,4.9,24.8,Ratnapura,,,,,,,,
24984,4.8,25.2,Ratnapura,,,,,,,,
24985,8.7,24.4,Ratnapura,,,,,,,,
24986,7.4,24.9,Ratnapura,,,,,,,,
24987,2,24.6,Ratnapura,,,,,,,,
24988,0.3,25.1,Ratnapura,,,,,,,,
24989,2.9,24.9,Ratnapura,,,,,,,,
24990,1.3,25,Ratnapura,,,,,,,,
24991,0,25.2,Ratnapura,,,,,,,,
24992,0.2,25.7,Ratnapura,,,,,,,,
24993,1.4,25.5,Ratnapura,,,,,,,,
24994,5.3,25,Ratnapura,,,,,,,,
24995,2.5,25,Ratnapura,,,,,,,,
24996,5.1,24.6,Ratnapura,,,,,,,,
24997,1.4,25,Ratnapura,,,,,,,,
24998,0.4,25.2,Ratnapura,,,,,,,,
