,rain_sum,temperature_2m_mean,city,,,,,,,,,,
54330,3.6,27,Galle,,,,,,,,,,
54331,6.9,26.8,Galle,,,,,,,,,,
54332,2.7,26.7,Galle,,,,,,,,,,
54333,4,26.8,Galle,,,,,,,,,,
54334,3.4,27,Galle,,,,,,,,,,
54335,3.3,27.3,Galle,,,,,,,,,,
54336,15.7,26.1,Galle,,,,,,,,,,
54337,9.7,26,Galle,,,,,,,,,,
54338,1.9,27.1,Galle,,,,,,,,,,
54339,10.3,25.9,Galle,,,,,,,,,,
54340,20.5,26.3,Galle,,,,,,,,,,
54341,14.1,25.9,Galle,,,,,,,,,,
54342,23.5,25.3,Galle,,,,,,,,,,
54343,10.7,26.5,Galle,,,,,,,,,,
54344,3.8,26.9,Galle,,,,,,,,,,
54345,11.9,26.5,Galle,,,,,,,,,,
54346,12,25.7,Galle,,,,,,,,,,
54347,16.7,25,Galle,,,,,,,,,,
54348,2.8,26.2,Galle,,,,,,,,,,
54349,22.2,26.2,Galle,,,,,,,,,,
54350,6.9,25.9,Galle,,,,,,,,,,
54351,3,26.2,Galle,,,,,,,,,,
54352,2.1,27.8,Galle,,,,,,,,,,
54353,4.9,27.9,Galle,,,,,,,,,,
54354,5.2,28,Galle,,,,,,,,,,
54355,10.6,27,Galle,,,,,,,,,,
54356,11.2,26.8,Galle,,,,,,,,,,
54357,7.2,26.9,Galle,,,,,,,,,,
54358,1.2,27.4,Galle,,,,,,,,,,
54359,4,27.1,Galle,,,,,,,,,,
54360,2.1,27.2,Galle,,,,,,,,,,
54361,0,27.6,Galle,,,,,,,,,,
54362,0,27.4,Galle,,,,,,,,,,
54363,0,27.8,Galle,,,,,,,,,,
54364,2.2,27.3,Galle,,,,,,,,,,
54365,2.3,26.8,Galle,,,,,,,,,,
54366,3.7,26.7,Galle,,,,,,,,,,
54367,1,27,Galle,,,,,,,,,,
54368,0,27,Galle,,,,,,,,,,
54369,0.3,27.1,Galle,,,,,,,,,,
54370,1.1,27.4,Galle,,,,,,,,,,
54371,0,27.5,Galle,,,,,,,,,,
54372,2.7,27,Galle,,,,,,,,,,
54373,2.8,26.8,Galle,,,,,,,,,,
