index,rain_sum,city,,,,,,,
580,2,Colombo,,,,,,,
581,20.2,Colombo,,,,,,,
582,10.4,Colombo,,,,,,,
583,3.1,Colombo,,,,,,,
584,10.3,Colombo,,,,,,,
585,11.4,Colombo,,,,,,,
586,9.2,Colombo,,,,,,,
587,6.5,Colombo,,,,,,,
588,4.6,Colombo,,,,,,,
589,9.4,Colombo,,,,,,,
590,3.6,Colombo,,,,,,,
591,15.9,Colombo,,,,,,,
592,12.7,Colombo,,,,,,,
593,15.7,Colombo,,,,,,,
594,3.1,Colombo,,,,,,,
595,4.7,Colombo,,,,,,,
596,11,Colombo,,,,,,,
597,7.8,Colombo,,,,,,,
598,18.5,Colombo,,,,,,,
599,14.6,Colombo,,,,,,,
600,11.3,Colombo,,,,,,,
601,15.4,Colombo,,,,,,,
602,1.4,Colombo,,,,,,,
603,2,Colombo,,,,,,,
604,3.5,Colombo,,,,,,,
605,2.7,Colombo,,,,,,,
606,10.3,Colombo,,,,,,,
607,16.5,Colombo,,,,,,,
608,11.5,Colombo,,,,,,,
609,15.4,Colombo,,,,,,,
610,2.6,Colombo,,,,,,,
611,1.4,Colombo,,,,,,,
612,9.6,Colombo,,,,,,,
613,12.7,Colombo,,,,,,,
614,12.9,Colombo,,,,,,,
615,8,Colombo,,,,,,,
616,25.1,Colombo,,,,,,,
617,27.8,Colombo,,,,,,,
618,27.8,Colombo,,,,,,,
619,37.8,Colombo,,,,,,,
620,29.6,Colombo,,,,,,,
621,18.9,Colombo,,,,,,,
622,6.5,Colombo,,,,,,,
623,2.9,Colombo,,,,,,,
624,1.1,Colombo,,,,,,,
625,1.5,Colombo,,,,,,,
626,1.1,Colombo,,,,,,,
627,1.1,Colombo,,,,,,,
628,11.9,Colombo,,,,,,,
629,3,Colombo,,,,,,,
630,1.4,Colombo,,,,,,,
631,1,Colombo,,,,,,,
632,0.9,Colombo,,,,,,,
633,1.7,Colombo,,,,,,,
634,1.8,Colombo,,,,,,,
635,0.2,Colombo,,,,,,,
636,1.4,Colombo,,,,,,,
637,1,Colombo,,,,,,,
638,0.4,Colombo,,,,,,,
639,2.3,Colombo,,,,,,,
640,4.5,Colombo,,,,,,,
641,5.1,Colombo,,,,,,,
642,0.7,Colombo,,,,,,,
643,0,Colombo,,,,,,,
644,1.4,Colombo,,,,,,,
645,0.5,Colombo,,,,,,,
646,2.6,Colombo,,,,,,,
647,3.5,Colombo,,,,,,,
648,4.9,Colombo,,,,,,,
649,7.5,Colombo,,,,,,,
650,2.2,Colombo,,,,,,,
651,1.6,Colombo,,,,,,,
652,1.9,Colombo,,,,,,,
653,0.3,Colombo,,,,,,,
654,3,Colombo,,,,,,,
655,1.1,Colombo,,,,,,,
656,4.1,Colombo,,,,,,,
657,6.8,Colombo,,,,,,,
658,55.1,Colombo,,,,,,,
659,17.2,Colombo,,,,,,,
660,31.9,Colombo,,,,,,,
661,17.2,Colombo,,,,,,,
662,13.7,Colombo,,,,,,,
663,20.3,Colombo,,,,,,,
664,15.2,Colombo,,,,,,,
665,13.7,Colombo,,,,,,,
666,15.4,Colombo,,,,,,,
667,18.8,Colombo,,,,,,,
668,14.2,Colombo,,,,,,,
669,31.3,Colombo,,,,,,,
670,17.7,Colombo,,,,,,,
671,9,Colombo,,,,,,,
672,3.5,Colombo,,,,,,,
673,2.4,Colombo,,,,,,,
674,8.1,Colombo,,,,,,,
675,7.1,Colombo,,,,,,,
676,0.7,Colombo,,,,,,,
677,0.2,Colombo,,,,,,,
678,0,Colombo,,,,,,,
679,0,Colombo,,,,,,,
680,0,Colombo,,,,,,,
681,1.7,Colombo,,,,,,,
682,0.7,Colombo,,,,,,,
683,0,Colombo,,,,,,,
684,2.6,Colombo,,,,,,,
685,14.7,Colombo,,,,,,,
686,10.4,Colombo,,,,,,,
687,3,Colombo,,,,,,,
688,21,Colombo,,,,,,,
689,25.6,Colombo,,,,,,,
690,5.6,Colombo,,,,,,,
691,7.1,Colombo,,,,,,,
692,18.9,Colombo,,,,,,,
693,12.7,Colombo,,,,,,,
694,29.1,Colombo,,,,,,,
695,26,Colombo,,,,,,,
696,1.5,Colombo,,,,,,,
697,9.6,Colombo,,,,,,,
698,19.4,Colombo,,,,,,,
699,3,Colombo,,,,,,,
700,3.2,Colombo,,,,,,,
701,0.2,Colombo,,,,,,,
702,0.5,Colombo,,,,,,,
703,0,Colombo,,,,,,,
704,0,Colombo,,,,,,,
705,0,Colombo,,,,,,,
706,0,Colombo,,,,,,,
707,4.5,Colombo,,,,,,,
708,7.7,Colombo,,,,,,,
709,22.3,Colombo,,,,,,,
710,41,Colombo,,,,,,,
711,17.1,Colombo,,,,,,,
712,10.6,Colombo,,,,,,,
713,3.7,Colombo,,,,,,,
714,3.6,Colombo,,,,,,,
715,6.8,Colombo,,,,,,,
716,13.8,Colombo,,,,,,,
717,30.5,Colombo,,,,,,,
718,43.6,Colombo,,,,,,,
719,7.7,Colombo,,,,,,,
720,3.8,Colombo,,,,,,,
721,5.5,Colombo,,,,,,,
722,0,Colombo,,,,,,,
723,0,Colombo,,,,,,,
724,0,Colombo,,,,,,,
725,0,Colombo,,,,,,,
726,0,Colombo,,,,,,,
727,0,Colombo,,,,,,,
728,1.1,Colombo,,,,,,,
729,0,Colombo,,,,,,,
730,0,Colombo,,,,,,,
731,0,Colombo,,,,,,,
732,0,Colombo,,,,,,,
733,3,Colombo,,,,,,,
734,16.5,Colombo,,,,,,,
735,11.8,Colombo,,,,,,,
736,7.8,Colombo,,,,,,,
737,17.2,Colombo,,,,,,,
738,3.2,Colombo,,,,,,,
739,2.2,Colombo,,,,,,,
740,0.1,Colombo,,,,,,,
741,0,Colombo,,,,,,,
742,0,Colombo,,,,,,,
743,0,Colombo,,,,,,,
744,0,Colombo,,,,,,,
745,0,Colombo,,,,,,,
746,0,Colombo,,,,,,,
747,0,Colombo,,,,,,,
748,0,Colombo,,,,,,,
749,0,Colombo,,,,,,,
750,0.8,Colombo,,,,,,,
751,0.4,Colombo,,,,,,,
752,0.2,Colombo,,,,,,,
753,0,Colombo,,,,,,,
754,0,Colombo,,,,,,,
755,0,Colombo,,,,,,,
756,0.1,Colombo,,,,,,,
757,0,Colombo,,,,,,,
758,0,Colombo,,,,,,,
759,0.5,Colombo,,,,,,,
760,0.5,Colombo,,,,,,,
761,0.3,Colombo,,,,,,,
762,0,Colombo,,,,,,,
763,0.8,Colombo,,,,,,,
764,0.5,Colombo,,,,,,,
765,14.6,Colombo,,,,,,,
766,2.4,Colombo,,,,,,,
767,4.2,Colombo,,,,,,,
768,3,Colombo,,,,,,,
769,7.9,Colombo,,,,,,,
770,2.4,Colombo,,,,,,,
771,0.8,Colombo,,,,,,,
772,0,Colombo,,,,,,,
773,0,Colombo,,,,,,,
774,65,Colombo,,,,,,,
775,18,Colombo,,,,,,,
776,6.2,Colombo,,,,,,,
777,11.5,Colombo,,,,,,,
778,0,Colombo,,,,,,,
779,0,Colombo,,,,,,,
